faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Pseudomonas;Pseudomonas bauzanensis;;Pseudomonas bauzanensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.026104-0
Pseudomonas;Pseudomonas beteli;;Pseudomonas beteli ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 323
Pseudomonas;Pseudomonas blatchfordae;;Pseudomonas blatchfordae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3374
Pseudomonas;Pseudomonas brassicacearum;;Pseudomonas brassicacearum ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4261
Pseudomonas;Pseudomonas cannabina;;Pseudomonas cannabina ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1162
Pseudomonas;Pseudomonas caricapapayae;;Pseudomonas caricapapayae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1872
Pseudomonas;Pseudomonas cattleyae;;Pseudomonas cattleyae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1874
Pseudomonas;Pseudomonas cepacia;;Pseudomonas cepacia ;ligninolysis|plastic_degradation|chemoheterotrophy;Zimmermann (1990) - Degradation of lignin by bacteria Journal of Biotechnology 13:119-130| Batie et al. (1987). Purification and character- ization of phthalate oxygenase and phthalate oxygenase reductase from Pseudomonas cepacia
Pseudomonas;Pseudomonas chlororaphis;;Pseudomonas chlororaphis ;nitrite_respiration|invertebrate_parasites |nitrate_respiration|plastic_degradation|nitrate_reduction |nitrogen_respiration|nitrogen_respiration;DOI:10.1007/BF00413383| DOI:10.3390/insects5010139| DOI:10.1128/AEM.72.1.638–644.2006| DOI:10.1016/S0964-8305(98)00057-2
Pseudomonas;Pseudomonas chlororaphis;chlororaphis;Pseudomonas chlororaphis chlororaphis;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2 Table BXII.c.119
Pseudomonas;Pseudomonas cichorii;;Pseudomonas cichorii ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 285
Pseudomonas;Pseudomonas cissicola;;Pseudomonas cissicola ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 2982
Pseudomonas;Pseudomonas citronellolis;;Pseudomonas citronellolis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Pseudomonas;Pseudomonas corrugata;;Pseudomonas corrugata ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1617
Pseudomonas;Pseudomonas cruciviae;;Pseudomonas cruciviae ;ligninolysis|chemoheterotrophy;Zimmermann (1990) - Degradation of lignin by bacteria Journal of Biotechnology 13:119-130
Pseudomonas;Pseudomonas entomophila;;Pseudomonas entomophila ;invertebrate_parasites ;DOI:10.3390/insects5010139
Pseudomonas;Pseudomonas ficuserectae;;Pseudomonas ficuserectae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3693
Pseudomonas;Pseudomonas flavescens;;Pseudomonas flavescens ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3063
Pseudomonas;Pseudomonas flectens;;Pseudomonas flectens ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 538
Pseudomonas;Pseudomonas fluorescens;;Pseudomonas fluorescens ;denitrification|cellulolysis|dark_thiosulfate_oxidation|ligninolysis|invertebrate_parasites |aromatic_hydrocarbon_degradation|plastic_degradation|dark_oxidation_of_sulfur_compounds|aromatic_compound_degradation|hydrocarbon_degradation|nitrogen_respiration|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1007/BF00413383| DOI:10.1128/MMBR.66.3.506–577.2002| DOI:10.1007/BF02011707| Zimmermann (1990) - Degradation of lignin by bacteria Journal of Biotechnology 13:119-130| DOI:10.3390/insects5010139|# DOI:10.1139/m97-051|# Krishna and Phale (2008). Bacterial degradation of phthalate isomers and their esters
Pseudomonas;Pseudomonas fluorescens;;Pseudomonas fluorescens ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 967
Pseudomonas;Pseudomonas fluorescens;II;Pseudomonas fluorescens II;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2 Table BXII.c.119
Pseudomonas;Pseudomonas fluorescens;III;Pseudomonas fluorescens III;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2 Table BXII.c.119
Pseudomonas;Pseudomonas fluorescens;IV;Pseudomonas fluorescens IV;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2 Table BXII.c.119
Pseudomonas;Pseudomonas frederiksbergensis;;Pseudomonas frederiksbergensis ;denitrification|nitrogen_respiration;DOI:10.1099/00207713-50-6-1957
Pseudomonas;Pseudomonas fuscovaginae;;Pseudomonas fuscovaginae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3085
Pseudomonas;Pseudomonas gingeri;;Pseudomonas gingeri ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3146
Pseudomonas;Pseudomonas halophila;;Pseudomonas halophila ;ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Pseudomonas;Pseudomonas hibiscicola;;Pseudomonas hibiscicola ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1683
Pseudomonas;Pseudomonas libanensis;;Pseudomonas libanensis ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;Dabboussi et al (1999) - Pseudornonas libanensis sp. nov. a new species isolated from Lebanese spring waters| Dabboussi et al (1999) - Pseudornonas libanensis sp. nov. a new species isolated from Lebanese spring waters
Pseudomonas;Pseudomonas luteola;;Pseudomonas luteola ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Pseudomonas;Pseudomonas marginalis;;Pseudomonas marginalis ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 247
Pseudomonas;Pseudomonas meliae;;Pseudomonas meliae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3033
Pseudomonas;Pseudomonas mendocina;;Pseudomonas mendocina ;nitrate_denitrification|human_pathogens_all|aromatic_hydrocarbon_degradation|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|human_associated|animal_parasites_or_symbionts|aromatic_compound_degradation|hydrocarbon_degradation|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|chemoheterotrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|chemoheterotrophy|nitrogen_respiration;DOI:10.1007/s11427-006-2018-x  and  Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1111/j.1574-6941.2011.01248.x| DOI:Yen (1991). Cloning and characterization of a Pseudomonas mendocina KR1 gene cluster encoding toluene-4-monooxygenase
Pseudomonas;Pseudomonas mendocina;D3;Pseudomonas mendocina D3;anammox|nitrite_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1007/s11427-006-2018-x
Pseudomonas;Pseudomonas methanica;;Pseudomonas methanica ;methanotrophy|methylotrophy|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Murrell and Dalton (2013) - Methane and Methanol Utilizers ISBN: 9781489923387
Pseudomonas;Pseudomonas mucidolens;;Pseudomonas mucidolens ;xylanolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Pseudomonas;Pseudomonas multiresinivorans;;Pseudomonas multiresinivorans ;nitrate_respiration|nitrate_reduction |nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Pseudomonas;Pseudomonas multivorans;;Pseudomonas multivorans ;ligninolysis|chemoheterotrophy;Zimmermann (1990) - Degradation of lignin by bacteria Journal of Biotechnology 13:119-130
Pseudomonas;Pseudomonas nautica;;Pseudomonas nautica ;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1099/00207713-48-4-1445  and  Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2  and  Gauthier et al. (1992) - Marinobacter hydrocarbonoclasticus gen. nov. sp. nov. a new extremely halotolerant hydrocarbon-degrading marine bacterium
Pseudomonas;Pseudomonas nitroreducens;;Pseudomonas nitroreducens ;oil_bioremediation|nitrate_respiration|nitrate_reduction |nitrogen_respiration|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Pseudomonas;Pseudomonas orientalis;;Pseudomonas orientalis ;ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Pseudomonas;Pseudomonas ovalis;;Pseudomonas ovalis ;ligninolysis|chemoheterotrophy;Zimmermann (1990) - Degradation of lignin by bacteria Journal of Biotechnology 13:119-130
Pseudomonas;Pseudomonas paucimobilis;;Pseudomonas paucimobilis ;ligninolysis|chemoheterotrophy;Zimmermann (1990) - Degradation of lignin by bacteria Journal of Biotechnology 13:119-130
Pseudomonas;Pseudomonas perfectomarinus;;Pseudomonas perfectomarinus ;nitrous_oxide_denitrification|nitrite_respiration|denitrification|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1007/BF00413383| Matsubara et al (1982) - Modulation by copper of the products of nitrite respiration in Pseudomonas perfectomarinus
Pseudomonas;Pseudomonas pseodoalcaligenes;;Pseudomonas pseodoalcaligenes ;plastic_degradation;DOI:10.1007/s00253-008-1548-5
Pseudomonas;Pseudomonas pseudoalcaligenes;;Pseudomonas pseudoalcaligenes ;ligninolysis|plastic_degradation|chemoheterotrophy;Zimmermann (1990) - Degradation of lignin by bacteria Journal of Biotechnology 13:119-130| Nomura et al (1989). A simple method for detection of enzyme activities involved in the initial step of phthalate degradation in microorganisms
Pseudomonas;Pseudomonas pseudoalcaligenes;;Pseudomonas pseudoalcaligenes ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1971
Pseudomonas;Pseudomonas pseudoflava;;Pseudomonas pseudoflava ;plastic_degradation;Nomura et al (1989). A simple method for detection of enzyme activities involved in the initial step of phthalate degradation in microorganisms
Pseudomonas;Pseudomonas putida;;Pseudomonas putida ;dark_thiosulfate_oxidation|manganese_oxidation|ligninolysis|aromatic_hydrocarbon_degradation|aromatic_compound_degradation|plastic_degradation|dark_oxidation_of_sulfur_compounds|aromatic_compound_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1007/BF02011707| DOI:10.1016/j.soilbio.2007.01.004| DOI:10.1039/C1NP00042J| DOI:10.1139/m97-051| DOI:10.3390/ijerph6010278|# Nomura et al (1989). A simple method for detection of enzyme activities involved in the initial step of phthalate degradation in microorganisms
Pseudomonas;Pseudomonas putida;;Pseudomonas putida ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 244
Pseudomonas;Pseudomonas putida;AD-21;Pseudomonas putida AD-21;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1263/jbb.106.498
Pseudomonas;Pseudomonas putida;MT-2;Pseudomonas putida MT-2;ligninolysis|chemoheterotrophy;DOI:10.1016/j.copbio.2010.10.009
Pseudomonas;Pseudomonas putida;WB;Pseudomonas putida WB;arsenate_respiration|dissimilatory_arsenate_reduction;DOI:10.1007/s00253-010-2856-0
Pseudomonas;Pseudomonas putrefaciens;;Pseudomonas putrefaciens ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Vandepitte and Debois (1978). Pseudomonas putrefaciens as a cause of bacteremia in humans
Pseudomonas;Pseudomonas rhodesiae;;Pseudomonas rhodesiae ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Pseudomonas;Pseudomonas saccharophila;;Pseudomonas saccharophila ;dark_hydrogen_oxidation;DOI:10.1099/ijs.0.65149-0  and  DOI:10.1099/ijs.0.63733-0
Pseudomonas;Pseudomonas savastanoi;;Pseudomonas savastanoi ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 52
Pseudomonas;Pseudomonas solanacearum;;Pseudomonas solanacearum ;plant_pathogen;Kelman (1954) - The relationship of pathogenicity of Pseudomonas solanacearum to colony appearance in a tetrazolium medium
Pseudomonas;Pseudomonas stutzeri;;Pseudomonas stutzeri ;nitrate_denitrification|nitrous_oxide_denitrification|human_pathogens_all|nitrate_respiration|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|denitrification|nitrite_respiration|human_associated|animal_parasites_or_symbionts|nitrate_respiration|nitrate_reduction |nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Carlson and Ingraham (1983) - Comparison of denitrification by Pseudomonas stutzeri Pseudomonas aeruginosa and Paracoccus denitrificans,5 Kester et al. (1997) - Production of NO and N2O by Pure Cultures of Nitrifying and Denitrifying Bacteria during Changes in Aeration| DOI:10.1007/BF00413383| DOI:10.1128/MMBR.00047-05| DOI:10.5772/55920
Pseudomonas;Pseudomonas stutzeri;;Pseudomonas stutzeri ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1973
Pseudomonas;Pseudomonas stutzeri;AN10;Pseudomonas stutzeri AN10;aromatic_hydrocarbon_degradation|aromatic_compound_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1016/S0378-1119(99)00241-3
Pseudomonas;Pseudomonas syringae;;Pseudomonas syringae ;invertebrate_parasites |plant_pathogen;DOI:10.3390/insects5010139| DOI:10.1126/science.295.5560.1722
Pseudomonas;Pseudomonas syringae;;Pseudomonas syringae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 79
Pseudomonas;Pseudomonas syzygii;;Pseudomonas syzygii ;plant_pathogen;DOI:10.1146/annurev.phyto.34.1.131
Pseudomonas;Pseudomonas testosteroni;;Pseudomonas testosteroni ;plastic_degradation;Nomura et al (1989). A simple method for detection of enzyme activities involved in the initial step of phthalate degradation in microorganisms
Pseudomonas;Pseudomonas thivervalensis;;Pseudomonas thivervalensis ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4259
Pseudomonas;Pseudomonas tolaasii;;Pseudomonas tolaasii ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 387
Pseudomonas;Pseudomonas tremae;;Pseudomonas tremae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3465
Pseudomonas;Pseudomonas viridiflava;;Pseudomonas viridiflava ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 389
Pseudomonas;Pseudomonas viridilivida;;Pseudomonas viridilivida ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 152
Pseudonocardia;Pseudonocardia ailaonensis;;Pseudonocardia ailaonensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Pseudonocardia;Pseudonocardia alaniniphila;;Pseudonocardia alaniniphila ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Pseudonocardia;Pseudonocardia ammonioxydans;;Pseudonocardia ammonioxydans ;aerobic_ammonia_oxidation|nitrification;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Pseudonocardia;Pseudonocardia autotrophica;;Pseudonocardia autotrophica ;knallgas_bacteria|dark_hydrogen_oxidation;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Pseudonocardia;Pseudonocardia nitrificans;;Pseudonocardia nitrificans ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Pseudonocardia;Pseudonocardia petroleophila;;Pseudonocardia petroleophila ;aliphatic_non_methane_hydrocarbon_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Pseudorhodobacter;Pseudorhodobacter wandonensis;;Pseudorhodobacter wandonensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.042879-0
Pseudorhodoferax;Pseudorhodoferax aquiterrae;;Pseudorhodoferax aquiterrae ;aerobic_chemoheterotrophy|nitrate_reduction |ureolysis|chemoheterotrophy;DOI:10.1099/ijs.0.039842-0| DOI:10.1099/ijs.0.039842-0| DOI:10.1099/ijs.0.039842-0
Pseudoruegeria;Pseudoruegeria aquimaris;;Pseudoruegeria aquimaris ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64594-0
Pseudoruegeria;Pseudoruegeria limi;;Pseudoruegeria limi ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1007/s10482-014-0158-8
Pseudoruegeria;Pseudoruegeria sabulilitoris;;Pseudoruegeria sabulilitoris ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.066258-0| DOI:10.1099/ijs.0.066258-0
Pseudovibrio;Pseudovibrio denitrificans;;Pseudovibrio denitrificans ;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|fermentation|aerobic_chemoheterotrophy|nitrite_denitrification|nitrous_oxide_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|chemoheterotrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1099/ijs.0.63107-0| DOI:10.1099/ijs.0.63107-0| DOI:10.1099/ijs.0.63107-0| DOI:10.1099/ijs.0.63107-0| DOI:10.1099/ijs.0.63107-0
Pseudozobellia;Pseudozobellia thermophila;;Pseudozobellia thermophila ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.004143-0
Psychrobacter;Psychrobacter Enhydrobacter;;Psychrobacter Enhydrobacter ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Psychrobacter;Psychrobacter proteolyticus;;Psychrobacter proteolyticus ;ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Psychromonas;Psychromonas kaikoae;;Psychromonas kaikoae ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Psychromonas;Psychromonas marina;;Psychromonas marina ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Psychromonas;Psychromonas profunda;;Psychromonas profunda ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Psychroserpens;Psychroserpens burtonensis;;Psychroserpens burtonensis ;aromatic_hydrocarbon_degradation|aromatic_compound_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Peter et al. (2003) - Genome Sequence Completed of Alcanivorax borkumensis a Hydrocarbon-degrading Bacterium That Plays a Global Role in Oil Removal from Marine Systems
Psychrosinus;Psychrosinus fermentans;;Psychrosinus fermentans ;fermentation|chemoheterotrophy;DOI:10.1111/j.1574-6968.2008.01300.x
Pullulanibacillus;Pullulanibacillus uraniitolerans;;Pullulanibacillus uraniitolerans ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.040923-0
Pyrinomonas;Pyrinomonas methylaliphatogenes;;Pyrinomonas methylaliphatogenes ;xylanolysis|aerobic_chemoheterotrophy|ureolysis|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.055079-0| DOI:10.1099/ijs.0.055079-0| DOI:10.1099/ijs.0.055079-0
Pyrobaculum;Pyrobaculum aerophilum;;Pyrobaculum aerophilum ;dark_hydrogen_oxidation|dark_thiosulfate_oxidation|iron_respiration|nitrate_respiration|dark_oxidation_of_sulfur_compounds|nitrate_reduction |nitrogen_respiration;Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1| Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1| DOI:10.1007/978-3-642-30141-4_69| Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1
Pyrobaculum;Pyrobaculum arsenaticum;;Pyrobaculum arsenaticum ;arsenate_respiration|dissimilatory_arsenate_reduction;William T. Frankenberger Jr (2001) Environmental Chemistry of Arsenic. Series: Books in Soils Plants and the Environment. CRC Press
Pyrobaculum;Pyrobaculum ferrireducens;;Pyrobaculum ferrireducens ;thiosulfate_respiration|arsenate_respiration|iron_respiration|nitrate_respiration|respiration_of_sulfur_compounds|dissimilatory_arsenate_reduction|nitrate_reduction |nitrogen_respiration;DOI:10.1099/ijs.0.000027| DOI:10.1099/ijs.0.000027| DOI:10.1099/ijs.0.000027| DOI:10.1099/ijs.0.000027
Pyrobaculum;Pyrobaculum islandicum;;Pyrobaculum islandicum ;sulfur_respiration|dark_hydrogen_oxidation|iron_respiration|respiration_of_sulfur_compounds;Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1| Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1| DOI:10.1007/978-3-642-30141-4_69
Pyrobaculum;Pyrobaculum organotrophum;;Pyrobaculum organotrophum ;sulfur_respiration|sulfur_respiration|respiration_of_sulfur_compounds|respiration_of_sulfur_compounds;Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1| Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1
Pyrococcus;Pyrococcus furiosus;;Pyrococcus furiosus ;sulfur_respiration|chitinolysis|fermentation|respiration_of_sulfur_compounds|chemoheterotrophy|chemoheterotrophy;DOI:10.1007/978-94-017-9269-1_10| Le Gal (2005) - Marine Biotechnology I ISBN: 9783540256595| Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1
Pyrodictium;Pyrodictium abyssi;;Pyrodictium abyssi ;sulfur_respiration|fermentation|respiration_of_sulfur_compounds|chemoheterotrophy;DOI:10.1007/978-94-017-9269-1_10| Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1
