ijsem_genus;ijsem_species;ijsem_strain;ijsem_speciesStrain;ijsem_source;ijsem_gram;ijsem_oxygen;ijsem_assays;ijsem_substrate;ijsem_ref
Sphingomonas;Sphingomonas hankookensis;ODN7T ;Sphingomonas hankookensis ODN7T;wastewater;negative;;oxidasePositive;adipate|arabinose|citrate|fructose|fucose|galactose|gluconicAcid|lactose|malate|maltose|mannose|melibiose|methylBeta-D-glucoside|N-acetylgulcosamine|raffinose|rhamnose|salicin|sucrose|Tween20|Tween40|Tween60|xylose;10.1099/ijs.0.008680-0
Sphingomonas;Sphingomonas histidinilytica;UM2;Sphingomonas histidinilytica UM2;other;negative;aerobic;catalasePositive|nitrateReductionToNitrite;arabinose|histidine|mannose|melibiose|ornithine|proline|serine|tryptophan|histidine|melibiose|ornithine|proline|serine|tryptophan|xylose;10.1099/ijs.0.008995-0
Sphingomonas;Sphingomonas indica;Dd16;Sphingomonas indica Dd16;soil;negative;aerobic;catalasePositive|oxidasePositive;arabinose|fructose|galactose|mannitol|raffinose|sorbitol|sucrose|trehalose;10.1099/ijs.0.033845-0
Sphingomonas;Sphingomonas insulae;DS-28;Sphingomonas insulae DS-28;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive;arabinose|cellobiose|citrate|fructose|galactose|glucose|glycerol|malate|maltose|mannose|melibiose|N-acetylgulcosamine|raffinose|rhamnose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.65075-0
Sphingomonas;Sphingomonas japonica;KC7T;Sphingomonas japonica KC7T;other;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|H2Sproduction|oxidasePositive;malate|Tween80;10.1099/ijs.0.003285-0
Sphingomonas;Sphingomonas jaspsi;TDMA-16T;Sphingomonas jaspsi TDMA-16T;freshwater (river| lake| pond);negative;aerobic;catalasePositive|gelatinase|oxidasePositive;glucose|maltose|Tween80;10.1099/ijs.0.64828-0
Sphingomonas;Sphingomonas kaistensis;PB56T;Sphingomonas kaistensis PB56T;soil;negative;aerobic;catalasePositive|oxidasePositive;4-hydroxbenzoate|adipate|gluconicAcid|glucose|maltose|mannitol|mannose|N-acetylgulcosamine|rhamnose;10.1099/ijs.0.64579-0
Sphingomonas;Sphingomonas kyungheensis;THG-B283;Sphingomonas kyungheensis THG-B283;soil;negative;aerobic;aesculinHydrolysis|alphaGalactosidase|catalasePositive|oxidasePositive;4-hydroxbenzoate|gluconicAcid|malate|N-acetylgulcosamine;10.1099/ijs.0.051649-0
Sphingomonas;Sphingomonas laterariae;LNB2;Sphingomonas laterariae LNB2;other;negative;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;arginine|galactose|glucose|mannose|serine;10.1099/ijs.0.034686-0
Sphingomonas;Sphingomonas molluscorum;KMM3882T;Sphingomonas molluscorum KMM3882T;other;negative;aerobic;aesculinHydrolysis|catalasePositive|oxidasePositive;arabinose|gluconicAcid|glucose|lactose|maltose|mannose|N-acetylgulcosamine;10.1099/ijs.0.64441-0
Sphingomonas;Sphingomonas mucosissima;CP173-2T;Sphingomonas mucosissima CP173-2T;soil;negative;;catalasePositive|oxidasePositive;acetate|alanine|arabinose|cellobiose|fructose|galactose|glucose|glycerol|melibiose|pyruvate|ribose|sucrose|xylose;10.1099/ijs.0.64331-0
Sphingomonas;Sphingomonas oligophenolica;S213T;Sphingomonas oligophenolica S213T;soil;negative;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive;acetate|arabinose|cellobiose|galactose|gluconicAcid|glucose|lactate|lactose|maltose|mannose|pyruvate|raffinose|xylose;10.1099/ijs.0.02959-0
Sphingomonas;Sphingomonas panni;C52T;Sphingomonas panni C52T;other;negative;aerobic;catalasePositive;citrate|maltose|mannose|pyruvate|trehalose;10.1099/ijs.0.63872-0
Sphingomonas;Sphingomonas phyllosphaerae;FA2T;Sphingomonas phyllosphaerae FA2T;plant associated;negative;aerobic;aesculinHydrolysis|catalasePositive|oxidasePositive;adipate|arabinose|cellobiose|fructose|fucose|galactose|lactose|malate|melibiose|N-acetylgulcosamine|raffinose|sucrose|trehalose|xylose;10.1099/ijs.0.63102-0
Sphingomonas;Sphingomonas polyaromaticivorans;B2-7;Sphingomonas polyaromaticivorans B2-7;seawater;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive;acetate|alanine|alpha-ketovalericAcid|arabinose|asparagine|aspartate|cellobiose|dextrin|formicAcid|fructose|galactose|glucose|glutamicAcid|glycerol|histidine|hyroxl-proline|lactose|leucine|maltose|mannose|methylBeta-D-glucoside|methylPyruvate|phenylalanine|proline|serine|sucrose|threonine|trehalose|Tween40|Tween80;10.1099/ijs.0.033530-0
Sphingomonas;Sphingomonas pseudosanguinis;G1-2T;Sphingomonas pseudosanguinis G1-2T;other;negative;;aesculinHydrolysis;3-hydroxybutyrate|alanine|arabinose|cellobiose|citrate|fructose|galactose|glucose|leucine|malate|maltose|mannose|proline|pyruvate|sucrose|trehalose|xylose;10.1099/ijs.0.64942-0
Sphingomonas;Sphingomonas rubra;BH3T;Sphingomonas rubra BH3T;bioreactor;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|galactose|glucose|maltose;10.1099/ijs.0.020958-0
Sphingomonas;Sphingomonas sanxanigenens;NX02T;Sphingomonas sanxanigenens NX02T;soil;negative;;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;arabinose|cellobiose|dextrin|galactose|gelatin|glucose|mannose|melibiose|pyruvicAcidMethylEster|raffinose|sucrose|trehalose|urocanicAcid;10.1099/ijs.0.000257-0
Sphingomonas;Sphingomonas sediminicola;Dae 20;Sphingomonas sediminicola Dae 20;freshwater sediment (river| lake| pond);negative;aerobic;acidPhosphatase|aesculinHydrolysis|catalasePositive|gelatinase|oxidasePositive;arabinose|sucrose;10.1099/ijs.0.039578-0
Sphingomonas;Sphingomonas soli;T5-04;Sphingomonas soli T5-04;soil;negative;aerobic;catalasePositive|oxidasePositive;acetate|arabinose|sucrose;10.1099/ijs.0.63839-0
Sphingomonas;Sphingomonas starnbergensis;382;Sphingomonas starnbergensis 382;freshwater (river| lake| pond);negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;adonitol|arabinose|cellobiose|fructose|fucose|galactose|glucose|glycerol|maltose|mannitol|mannose|N-acetylgulcosamine|rhamnose|sorbitol|xylose;10.1099/ijs.0.042887-0
Sphingomonas;Sphingomonas yabuuchiae;A1-18T;Sphingomonas yabuuchiae A1-18T;other;negative;aerobic;catalasePositive;arabinose|cellobiose|fructose|galactose|gluconicAcid|glucose|glycerol|lactose|maltose|mannose|melibiose|N-acetylgulcosamine|raffinose|sucrose|trehalose|Tween80;10.1099/ijs.0.02829-0
Sphingomonas;Sphingomonas yunnanensis;YIM003T;Sphingomonas yunnanensis YIM003T;other;negative;aerobic;aesculinHydrolysis|alphaGalactosidase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;dextrin|fructose|galactose|glucose|lactose|mannose|N-acetylgulcosamine|ribose|xylose;10.1099/ijs.0.63697-0
Sphingopyxis;Sphingopyxis baekryungensis;SW-150T;Sphingopyxis baekryungensis SW-150T;seawater;negative;;aesculinHydrolysis|nitrateReductionToNitrite;arabinose|cellobiose|galactose|glucose|pyruvate|sucrose|Tween20|Tween40|Tween60|Tween80;10.1099/ijs.0.63495-0
Sphingopyxis;Sphingopyxis bauzanensis;BZ30;Sphingopyxis bauzanensis BZ30;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;glucose|malate|maltose;10.1099/ijs.0.018218-0
Sphingopyxis;Sphingopyxis ginsengisoli;Gsoil 250;Sphingopyxis ginsengisoli Gsoil 250;soil;negative;aerobic;catalasePositive|oxidasePositive;3-hydroxybutyrate|adipate|alanine|asparagine|cellobiose|fucose|galactose|glucose|glutamicAcid|histidine|lactate|leucine|malate|maltose|proline|rhamnose|tryptophan|valerate;10.1099/ijs.0.64431-0
Sphingopyxis;Sphingopyxis indica;DS15;Sphingopyxis indica DS15;other;negative;aerobic;aesculinHydrolysis|oxidasePositive;arabinose|fructose|lactose|xylose;10.1099/ijs.0.040840-0
Sphingopyxis;Sphingopyxis italica;SC13E-S71;Sphingopyxis italica SC13E-S71;other;negative;aerobic;alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|glucose|malate|maltose|mannose|N-acetylgulcosamine;10.1099/ijs.0.046573-0
Sphingopyxis;Sphingopyxis litoris;FR1093;Sphingopyxis litoris FR1093;seawater;negative;aerobic;alkalinePhosphatase|catalasePositive|oxidasePositive|ureasePositive;citrate|malate;10.1099/ijs.0.65614-0
Sphingopyxis;Sphingopyxis marina;FR1087;Sphingopyxis marina FR1087;seawater;negative;aerobic;aesculinHydrolysis|oxidasePositive|ureasePositive;adipate|arabinose|citrate|glucose|malate;I 10.1099/ijs.0.65614-0
Sphingopyxis;Sphingopyxis panaciterrulae;DCY34;Sphingopyxis panaciterrulae DCY34;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;glucose|malate|maltose|N-acetylgulcosamine|rhamnose|sucrose;10.1099/ijs.0.019414-0
Sphingopyxis;Sphingopyxis soli;BL03;Sphingopyxis soli BL03;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|oxidasePositive|acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|oxidasePositive|ureasePositive;adonitol|alanine|aspartate|dextrin|glutamicAcid|histidine|lactate|leucine|ornithine|pyruvicAcidMethylEster|serine|adonitol|alanine|aspartate|dextrin|histidine|lactate|leucine|N-acetylgulcosamine|ornithine|pyruvicAcidMethylEster|quinicAcid|serine;10.1099/ijs.0.013128-0
Sphingopyxis;Sphingopyxis ummariensis;UI2;Sphingopyxis ummariensis UI2;other;negative;aerobic;catalasePositive|oxidasePositive|aesculinHydrolysis|catalasePositive|oxidasePositive;arabinose|fructose|lactose|ribose|sorbitol|xylose|arabinose|cellobiose|fructose|galactose|glucose|lactose|maltose|mannose|ribose|sorbitol|trehalose|xylose;10.1099/ijs.0.008805-0
Sphingorhabdus;Sphingorhabdus planktonica;G1A_585;Sphingorhabdus planktonica G1A_585;freshwater (river| lake| pond);negative;aerobic;catalasePositive|oxidasePositive;glucose;10.1099/ijs.0.043133-0
Sphingosinicella;Sphingosinicella microcystinivorans;Y2;Sphingosinicella microcystinivorans Y2;other;negative;aerobic;catalasePositive|oxidasePositive;;10.1099/ijs.0.63789-0
Sphingosinicella;Sphingosinicella soli;KSL-125;Sphingosinicella soli KSL-125;soil;negative;aerobic;;alpha-ketovalericAcid|methylPyruvate|ornithine;10.1099/ijs.0.65242-0
Sphingosinicella;Sphingosinicella vermicomposti;YC7378;Sphingosinicella vermicomposti YC7378;other;negative;aerobic;oxidasePositive|acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|oxidasePositive;alanine|gluconicAcid|malate|maltose|alanine|malate|maltose;10.1099/ijs.0.010777-0
Spinactinospora;Spinactinospora alkalitolerans;Spinactinospora alkalitolerans;Spinactinospora alkalitolerans Spinactinospora alkalitolerans;marine sediment;positive;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;2,3-butanediol|alanine|arabitol|asparagine|cellobiose|dextrin|fructose|galactose|gluconicAcid|glucose|glutamicAcid|glycerol|glycogen|inosine|maltose|mannose|methylBeta-D-glucoside|N-acetylgulcosamine|ribose|serine|Tween20|Tween40|Tween60|Tween80|xylitol|xylose;10.1099/ijs.0.027383-0
Spirochaeta;Spirochaeta cellobiosiphila;SIP1;Spirochaeta cellobiosiphila SIP1;other;negative;facultative;;mannose|sucrose|xylose;10.1099/ijs.0.2008/001263-0
Spirochaeta;Spirochaeta dissipatitropha;ASpC2T;Spirochaeta dissipatitropha ASpC2T;hypersaline environment;negative;anaerobic;;acetate|alanine|arabinose|arginine|aspartate|citrate|ethanol|fructose|glucose|histidine|maltose|mannitol|ribose|sucrose|threonine|trehalose|tryptophan;10.1099/ijs.0.016733-0
Spirochaeta;Spirochaeta perfilievii;P;Spirochaeta perfilievii P;hotspring;negative;anaerobic;;asparagine|cellobiose|glucose|glycogen|maltose|sucrose|trehalose;10.1099/ijs.0.018333-0
Spirochaeta;Spirochaeta perfilievii;PT;Spirochaeta perfilievii PT;hotspring;negative;anaerobic;;acetate|asparagine|cellobiose|ethanol|formicAcid|glucose|glycogen|maltose|sucrose|trehalose;10.1099/ijs.0.018333-0
Spirochaeta;Spirochaeta perfilievii;Spirochaeta perfilievii;Spirochaeta perfilievii Spirochaeta perfilievii;other;negative;;;asparagine|cellobiose|glucose|glycogen|maltose|sucrose|trehalose;10.1099/ijs.0.018333-0
Spirochaeta;Spirochaeta sphaeroplastigenens;JC133;Spirochaeta sphaeroplastigenens JC133;hypersaline environment;negative;anaerobic;;citrate|fructose|gelatin|glucose|lactate|sucrose|xylose;10.1099/ijs.0.046292-0
Spiroplasma;Spiroplasma leucomae;SMAT;Spiroplasma leucomae SMAT;other;;facultative;;arginine|glucose;10.1099/ijs.0.63685-0
Spiroplasma;Spiroplasma penaei;SHRIMPT;Spiroplasma penaei SHRIMPT;other;;;;arginine|glucose;10.1099/ijs.0.63555-0
Spirosoma;Spirosoma endophyticum;EX36;Spirosoma endophyticum EX36;plant associated;negative;aerobic;aesculinHydrolysis|catalasePositive|oxidasePositive;cellobiose|dextrin|fructose|glucose|histidine|lactose|maltose|mannitol|mannose|melibiose|N-acetylgulcosamine|raffinose|sucrose|trehalose;10.1099/ijs.0.052654-0
Spirosoma;Spirosoma panaciterrae;1519T;Spirosoma panaciterrae 1519T;soil;negative;aerobic;acidPhosphatase|alkalinePhosphatase|alphaGalactosidase|catalasePositive|gelatinase|oxidasePositive;arabinose|cellobiose|glucose|maltose|mannose|melibiose|salicin|sorbitol|sucrose|trehalose;10.1099/ijs.0.002436-0
Spirosoma;Spirosoma rigui;WPCB118T;Spirosoma rigui WPCB118T;freshwater (river| lake| pond);negative;facultative;aesculinHydrolysis|catalasePositive;glucose;10.1099/ijs.0.65302-0
Spongiibacter;Spongiibacter marinus;HAL40b;Spongiibacter marinus HAL40b;other;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose;10.1099/ijs.0.65438-0
Spongiibacter;Spongiibacter tropicus;CL-CB221T;Spongiibacter tropicus CL-CB221T;seawater;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;pyruvate;10.1099/ijs.0.005819-0
Spongiibacterium;Spongiibacterium flavum;A11;Spongiibacterium flavum A11;other;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|oxidasePositive|ureasePositive;glucose|malate|mannitol|mannose|N-acetylgulcosamine;10.1099/ijs.0.027243-0
Spongiispira;Spongiispira norvegica;Gp_4_7.1;Spongiispira norvegica Gp_4_7.1;marine sediment;negative;aerobic;oxidasePositive;arabinose;10.1099/ijs.0.65439-0
Sporacetigenium;Sporacetigenium mesophilum;ZLJ115;Sporacetigenium mesophilum ZLJ115;other;positive;anaerobic;aesculinHydrolysis;arabinose|fructose|galactose|rhamnose|ribose|xylose;10.1099/ijs.0.63686-0
Sporidiobolus;Sporidiobolus metaroseus;CBS 7683;Sporidiobolus metaroseus CBS 7683;plant associated;;;ureasePositive;arabinose|cellobiose|ethanol|galactose|gluconicAcid|glucose|lactate|malate|maltose|mannitol|raffinose|ribose|sucrose|trehalose;10.1099/ijs.0.65580-0
Sporolactobacillus;Sporolactobacillus putidus;QC81-06;Sporolactobacillus putidus QC81-06;other;positive;anaerobic;;fructose|galactose|glucose|maltose|mannitol|mannose|N-acetylgulcosamine|sucrose|trehalose|fructose|galactose|glucose|maltose|mannitol|mannose|sucrose|trehalose;10.1099/ijs.0.002048-0
Sporolactobacillus;Sporolactobacillus vineae;SL153;Sporolactobacillus vineae SL153;soil;positive;facultative;;fructose|glucose|mannitol|mannose|N-acetylgulcosamine|sorbitol;10.1099/ijs.0.65608-0
Sporolituus;Sporolituus thermophilus;AeGT ;Sporolituus thermophilus AeGT;freshwater (river| lake| pond);negative;anaerobic;;citrate|malate;10.1099/ijs.0.010306-0
Sporosalibacterium;Sporosalibacterium faouarense;SOL3f37;Sporosalibacterium faouarense SOL3f37;soil;positive;anaerobic;;fructose|glucose|mannitol|pyruvate;10.1099/ijs.0.017715-0
Sporosalibacterium;Sporosalibacterium faouarense;SOL3f37T;Sporosalibacterium faouarense SOL3f37T;soil;positive;anaerobic;;fructose|glucose|mannitol|pyruvate;10.1099/ijs.0.017715-0
Sporosalibacterium;Sporosalibacterium faouarense;Sporosalibacterium faouarense;Sporosalibacterium faouarense Sporosalibacterium faouarense;other;positive;anaerobic;;fructose|glucose|mannitol|pyruvate;10.1099/ijs.0.017715-0
Sporosarcina;Sporosarcina antarctica;N-05;Sporosarcina antarctica N-05;soil;positive;facultative;alkalinePhosphatase|catalasePositive|oxidasePositive;glucose;10.1099/ijs.0.65838-0
Sporosarcina;Sporosarcina contaminans;CCUG 53915;Sporosarcina contaminans CCUG 53915;other;positive;aerobic;catalasePositive|oxidasePositive;malate|pyruvate;10.1099/ijs.0.014423-0
Sporosarcina;Sporosarcina koreensis;F73T;Sporosarcina koreensis F73T;soil;positive;aerobic;catalasePositive|gelatinase|oxidasePositive|ureasePositive;citrate;10.1099/ijs.0.64352-0
Sporosarcina;Sporosarcina newyorkensis;6062;Sporosarcina newyorkensis 6062;other;positive;facultative;alkalinePhosphatase|alphaGalactosidase|catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive|ureasePositive;;10.1099/ijs.0.030080-0
Sporosarcina;Sporosarcina soli;I80T ;Sporosarcina soli I80T;soil;positive;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;;10.1099/ijs.0.64352-0
Sporosarcina;Sporosarcina thermotolerans;CCUG 53480;Sporosarcina thermotolerans CCUG 53480;other;positive;aerobic;catalasePositive|gelatinase|oxidasePositive;;10.1099/ijs.0.014423-0
Stackebrandtia;Stackebrandtia albiflava;YIM45751T;Stackebrandtia albiflava YIM45751T;other;positive;;aesculinHydrolysis|catalasePositive|gelatinase|nitrateReductionToNitrite;adonitol|arabinose|cellobiose|citrate|dextrin|fructose|galactose|gelatin|glucose|lactose|mannitol|mannose|melibiose|raffinose|rhamnose|ribose|sorbitol|sucrose|Tween20|Tween60|Tween80|urea|xylose;10.1099/ijs.0.002147-0
Stackebrandtia;Stackebrandtia nassauensis;NRRLB-16338T;Stackebrandtia nassauensis NRRLB-16338T;soil;positive;aerobic;aesculinHydrolysis|catalasePositive|gelatinase|nitrateReductionToNitrite;acetate|arabinose|cellobiose|dextrin|fructose|gelatin|lactose|malate|maltose|mannose|melibiose|raffinose|rhamnose|salicin|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.63496-0
Stakelama;Stakelama pacifica;JLT832;Stakelama pacifica JLT832;seawater;negative;aerobic;catalasePositive|H2Sproduction|nitrateReductionToNitrite;acetate|galactose|gluconicAcid|glucose|glycerol|lactose|malate|maltose|mannitol|proline|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.018945-0
Stakelama;Stakelama sediminis;CJ70;Stakelama sediminis CJ70;marine sediment;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;alanine|arabinose|cellobiose|dextrin|fructose|galactose|glucose|glutamicAcid|lactate|maltose|mannose|methylBeta-D-glucoside|proline|pyruvicAcidMethylEster|serine|trehalose|Tween80;10.1099/ijs.0.039743-0
Staphylococcus;Staphylococcus agnetis;06.04.2014;Staphylococcus agnetis 06/04/14;other;positive;facultative;catalasePositive|nitrateReductionToNitrite;fructose|galactose|glucose|lactose|mannose|melibiose|ribose|sucrose|trehalose;10.1099/ijs.0.028365-0
Staphylococcus;Staphylococcus devriesei;KS-SP-60;Staphylococcus devriesei KS-SP-60;other;positive;facultative;catalasePositive|ureasePositive;fructose|galactose|glycerol|lactose|maltose|mannitol|ribose|sucrose|trehalose;10.1099/ijs.0.015982-0
Staphylococcus;Staphylococcus jettensis;SEQ110;Staphylococcus jettensis SEQ110;other;positive;facultative;catalasePositive|nitrateReductionToNitrite;fructose|glucose|maltose|sucrose|trehalose;10.1099/ijs.0.044438-0
Staphylococcus;Staphylococcus massiliensis;5402776;Staphylococcus massiliensis 5402776;other;positive;aerobic;catalasePositive|nitrateReductionToNitrite;alanine|alpha-ketovalericAcid|arabinose|glucose|glutamicAcid|glycerol|inosine|lactate|pyruvate|pyruvicAcidMethylEster|ribose|serine|glutamicAcid|ribose|serine;10.1099/ijs.0.006486-0
Staphylococcus;Staphylococcus microti;4005-LJ(m);Staphylococcus microti 4005-LJ(m);other;positive;;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive|catalasePositive;fructose|glucose|lactose|N-acetylgulcosamine|sucrose|trehalose|xylose|trehalose;10.1099/ijs.0.011429-0
Staphylococcus;Staphylococcus pettenkoferi;B3117T ;Staphylococcus pettenkoferi B3117T;other;positive;facultative;alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|ureasePositive;fructose|sucrose;10.1099/ijs.0.64381-0
Staphylococcus;Staphylococcus pseudintermedius;LMG22219T;Staphylococcus pseudintermedius LMG22219T;other;positive;aerobic;catalasePositive|nitrateReductionToNitrite|ureasePositive;fructose|galactose|glucose|glycerol|lactose|maltose|mannitol|mannose|N-acetylgulcosamine|ribose|sucrose|trehalose|urea;10.1099/ijs.0.63413-0
Staphylococcus;Staphylococcus rostri;ARI 262;Staphylococcus rostri ARI 262;other;positive;facultative;alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite;fructose|glucose|sucrose;10.1099/ijs.0.012443-0
Staphylococcus;Staphylococcus simiae;CCM 7213T;Staphylococcus simiae CCM 7213T;other;positive;anaerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|ureasePositive;arabinose|fructose|galactose|glucose|lactose|maltose|mannitol|sucrose|trehalose;10.1099/ijs.0.63590-0
Stappia;Stappia indica;B106;Stappia indica B106;seawater;negative;;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive|catalasePositive|oxidasePositive;alanine|arabitol|asparagine|citrate|fructose|galcturonicAcid|gluconicAcid|glucose|glutamicAcid|glycerol|glycogen|histidine|lactate|leucine|mannitol|myo-inositol|ornithine|phenylalanine|proline|quinicAcid|serine|sorbitol|threonine|thymidine|urocanicAcid|adipate|glucose|glutamicAcid|mannitol;10.1099/ijs.0.013417-0
Stappia;Stappia marina;mano18;Stappia marina mano18;other;negative;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;glucose;10.1099/ijs.0.63735-0
Stappia;Stappia taiwanensis;CC-SPIO-10;Stappia taiwanensis CC-SPIO-10;hotspring;negative;aerobic;oxidasePositive;3-hydroxybutyrate|acetate|arabinose|citrate|galactose|glucose|lactate|malate|N-acetylgulcosamine|pyruvate|ribose;10.1099/ijs.0.044966-0
Starmerella;Starmerella jinningensis;Ym24410;Starmerella jinningensis Ym24410;plant associated;;;;galactose|glucose|mannitol|raffinose|sucrose|xylitol;10.1099/ijs.0.044081-0
Starmerella;Starmerella neotropicalis;UFMG PST 09;Starmerella neotropicalis UFMG PST 09;other;;;;glucose|glycerol|mannitol|putrescine|ribose|sucrose;10.1099/ijs.0.055897-0
Stenothermobacter;Stenothermobacter spongiae; UST030701-156;Stenothermobacter spongiae UST030701-156;other;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|galactose|glucose|glycerol|mannitol|melibiose|sorbitol|sucrose;10.1099/ijs.0.63908-0
Stenotrophomonas;Stenotrophomonas daejeonensis;MJ03T;Stenotrophomonas daejeonensis MJ03T;other;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|nitrateReductionToNitrite;3-hydroxybutyrate|acetate|alanine|arabinose|citrate|fucose|glucose|histidine|maltose|mannitol|mannose|N-acetylgulcosamine|proline|rhamnose|ribose|serine|sorbitol|valerate;10.1099/ijs.0.017780-0
#VERDI!;Stenotrophomonas;DS-16;Stenotrophomonas DS-16;soil;negative;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;cellobiose|glucose|glycogen|maltose|mannose|trehalose|xylose;10.1099/ijs.0.64091-0
Stenotrophomonas;Stenotrophomonas ginsengisoli;DCY01;Stenotrophomonas ginsengisoli DCY01;soil;negative;aerobic;catalasePositive|oxidasePositive|acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive;3-hydroxybutyrate|glucose|maltose|mannitol|proline|rhamnose|valerate|3-hydroxybutyrate|glucose|maltose|mannitol|N-acetylgulcosamine|proline|rhamnose|valerate;10.1099/ijs.0.014662-0
Stenotrophomonas;Stenotrophomonas humi;R-32729T ;Stenotrophomonas humi R-32729T;soil;negative;;alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;citrate|fructose|malate|maltose|mannose|N-acetylgulcosamine;10.1099/ijs.0.65044-0
Stenotrophomonas;Stenotrophomonas koreensis;TR6-01;Stenotrophomonas koreensis TR6-01;other;negative;aerobic;oxidasePositive;3-hydroxybutyrate|alanine|serine;10.1099/ijs.0.63826-0
Stenotrophomonas;Stenotrophomonas pavanii; ICB 89T;Stenotrophomonas pavanii ICB 89T;plant associated;negative;;aesculinHydrolysis|catalasePositive|gelatinase;citrate|N-acetylgulcosamine|Tween80;10.1099/ijs.0.019372-0
Stenotrophomonas;Stenotrophomonas terrae;R-32768T;Stenotrophomonas terrae R-32768T;soil;negative;;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;citrate|fructose|glucose|maltose|mannose|N-acetylgulcosamine;10.1099/ijs.0.65044-0
Steroidobacter;Steroidobacter denitrificans;FS;Steroidobacter denitrificans FS;other;negative;aerobic;catalasePositive|oxidasePositive;acetate|glutamicAcid;10.1099/ijs.0.65342-0
Stomatobaculum;Stomatobaculum longum;DSM 24645;Stomatobaculum longum DSM 24645;human - mouth;variable;anaerobic;;glucose|maltose|sucrose;10.1099/ijs.0.042812-0
Streptacidiphilus;Streptacidiphilus anmyonensis;AM11;Streptacidiphilus anmyonensis AM11;soil;;;;arginine|gluconicAcid|glycerol|melibiose|myo-inositol|sorbitol|sucrose|xylose;10.1099/ijs.0.65480-0
Streptacidiphilus;Streptacidiphilus melanogenes;SB-B34;Streptacidiphilus melanogenes SB-B34;soil;;;;arginine|gluconicAcid|glycerol|melibiose|myo-inositol|sorbitol|sucrose|xylose;10.1099/ijs.0.65480-0
Streptacidiphilus;Streptacidiphilus oryzae;TH49;Streptacidiphilus oryzae TH49;soil;positive;aerobic;nitrateReductionToNitrite;alanine|arabinose|arabitol|cellobiose|fructose|galactose|glucose|glycogen|histidine|lactose|mannitol|mannose|phenylalanine|pyruvate|raffinose|rhamnose|salicin|threonine;0.1099/ijs.0.64165-0
Streptacidiphilus;Streptacidiphilus rugosus;AM16;Streptacidiphilus rugosus AM16;soil;;;;arginine|gluconicAcid|glycerol|myo-inositol|sorbitol|sucrose;10.1099/ijs.0.65480-0
Streptmocyces;Streptmocyces lunalinharesii;RCQ1071;Streptmocyces lunalinharesii RCQ1071;soil;positive;aerobic;ureasePositive;arabinose|rhamnose|sucrose;10.1099/ijs.0.65768-0
