microbedir_genus;microbedir_species;microbedir_strain;microbedir_speciesStrain;microbedir_gram;microbedir_source;microbedir_abSusceptible;microbedir_extremophile;microbedir_pathogenicity
Enterococcus;Enterococcus caccae;;Enterococcus caccae;positive;;;;
Enterococcus;Enterococcus casseliflavus;;Enterococcus casseliflavus;positive;;;;plant
Enterococcus;Enterococcus cecorum;;Enterococcus cecorum;positive;;no;;animal
Enterococcus;Enterococcus columbae;;Enterococcus columbae;positive;;;;animal
Enterococcus;Enterococcus dispar;;Enterococcus dispar;positive;;;;animal
Enterococcus;Enterococcus durans;;Enterococcus durans;positive;;;;
Enterococcus;Enterococcus faecalis;;Enterococcus faecalis;positive;;no;;animal
Enterococcus;Enterococcus faecium;;Enterococcus faecium;positive;humanMicrobiome;;;animal
Enterococcus;Enterococcus gallinarum;;Enterococcus gallinarum;positive;;yes;;animal
Enterococcus;Enterococcus gilvus;;Enterococcus gilvus;positive;;yes;yes;
Enterococcus;Enterococcus haemoperoxidus;;Enterococcus haemoperoxidus;positive;humanMicrobiome;yes;yes;
Enterococcus;Enterococcus hirae;;Enterococcus hirae;positive;;yes;yes;animal
Enterococcus;Enterococcus italicus;;Enterococcus italicus;;humanMicrobiome;yes;yes;
Enterococcus;Enterococcus malodoratus;;Enterococcus malodoratus;positive;humanMicrobiome;yes;yes;
Enterococcus;Enterococcus moraviensis;;Enterococcus moraviensis;;humanMicrobiome;yes;yes;
Enterococcus;Enterococcus mundtii;;Enterococcus mundtii;positive;humanMicrobiome;yes;yes;
Enterococcus;Enterococcus pallens;;Enterococcus pallens;;humanMicrobiome;yes;yes;
Enterococcus;Enterococcus phage ;BC 611;Enterococcus phage BC 611;;;;no;
Enterococcus;Enterococcus phage ;EF62phi;Enterococcus phage EF62phi;;;;;
Enterococcus;Enterococcus phage ;EFAP 1;Enterococcus phage EFAP 1;;;;no;
Enterococcus;Enterococcus phage ;EFRM31;Enterococcus phage EFRM31;;;;no;
Enterococcus;Enterococcus phage ;phiEf11;Enterococcus phage phiEf11;;;;no;
Enterococcus;Enterococcus phage ;phiEF24C;Enterococcus phage phiEF24C;;;;no;
Enterococcus;Enterococcus phage ;phiFL1A;Enterococcus phage phiFL1A;;;;no;
Enterococcus;Enterococcus phage ;phiFL2A;Enterococcus phage phiFL2A;;;;no;
Enterococcus;Enterococcus phage ;phiFL3A;Enterococcus phage phiFL3A;;;;no;
Enterococcus;Enterococcus phage ;phiFL4A;Enterococcus phage phiFL4A;;;;no;
Enterococcus;Enterococcus phoeniculicola;;Enterococcus phoeniculicola;;humanMicrobiome;yes;yes;
Enterococcus;Enterococcus raffinosus;;Enterococcus raffinosus;;humanMicrobiome;yes;yes;
Enterococcus;Enterococcus saccharolyticus;;Enterococcus saccharolyticus;positive;humanMicrobiome;;no;animal
Enterococcus;Enterococcus sp. ;7L76;Enterococcus sp. 7L76;positive;humanMicrobiome;;;
Enterococcus;Enterococcus sp. ;C1;Enterococcus sp. C1;positive;;;;
Enterococcus;Enterococcus sp. ;GMD1E;Enterococcus sp. GMD1E;positive;humanMicrobiome;;;
Enterococcus;Enterococcus sp. ;GMD2E;Enterococcus sp. GMD2E;positive;humanMicrobiome;;;
Enterococcus;Enterococcus sp. ;GMD3E;Enterococcus sp. GMD3E;positive;humanMicrobiome;;;
Enterococcus;Enterococcus sp. ;GMD4E;Enterococcus sp. GMD4E;positive;humanMicrobiome;;;
Enterococcus;Enterococcus sp. ;GMD5E;Enterococcus sp. GMD5E;positive;humanMicrobiome;;yes;
Enterococcus;Enterococcus sulfureus;;Enterococcus sulfureus;positive;;;;
Enterococcus;Enterococcus villorum;;Enterococcus villorum;positive;;yes;;animal
Enterocytozoon;Enterocytozoon bieneusi;;Enterocytozoon bieneusi;;;yes;no;animal
Enterorhabdus;Enterorhabdus caecimuris;;Enterorhabdus caecimuris;positive;;;no;
Enterovibrio;Enterovibrio calviensis;;Enterovibrio calviensis;negative;;;;
Enterovibrio;Enterovibrio norvegicus;;Enterovibrio norvegicus;;;;;
Epulopiscium;Epulopiscium sp. ;N t morphotype B;Epulopiscium sp. N t morphotype B;;;;;
Eremococcus;Eremococcus coleocola;;Eremococcus coleocola;positive;;;no;
Eremothecium;Eremothecium cymbalariae;;Eremothecium cymbalariae;;;;;
Eremothecium;Eremothecium gossypii;;Eremothecium gossypii;;;no;;plant
Erwinia;Erwinia amylovora;;Erwinia amylovora;negative;humanMicrobiome;yes;;plant
Erwinia;Erwinia amylovora ;phage Era103;Erwinia amylovora phage Era103;;;;no;
Erwinia;Erwinia billingiae;;Erwinia billingiae;negative;;;;
Erwinia;Erwinia phage ;ENT90;Erwinia phage ENT90;;;;no;
Erwinia;Erwinia phage ;FE44;Erwinia phage FE44;;;;no;
Erwinia;Erwinia phage ;PEp14;Erwinia phage PEp14;;;;no;
Erwinia;Erwinia phage ;phiEa100;Erwinia phage phiEa100;;;;no;
Erwinia;Erwinia phage ;phiEa21 4;Erwinia phage phiEa21 4;;;;no;
Erwinia;Erwinia phage ;phiEaH2;Erwinia phage phiEaH2;;;;no;
Erwinia;Erwinia phage ;phiEt88;Erwinia phage phiEt88;;;;no;
