# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	94518	95213	+	RRC95075.1			TetR family transcriptional regulator			EII11_07525	696	231	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	95210	95449	-							EII11_07530	240		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	95210	95449	-	RRC95076.1			transcriptional regulator			EII11_07530	240	79	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	95471	96307	-							EII11_07535	837		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	95471	96307	-	RRC95077.1			ABC transporter permease			EII11_07535	837	278	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	96304	97248	-							EII11_07540	945		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	96304	97248	-	RRC95078.1			ABC transporter ATP-binding protein			EII11_07540	945	314	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	97613	100078	+							EII11_07545	2466		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	97613	100078	+	RRC95079.1			ATP-dependent Clp protease ATP-binding subunit			EII11_07545	2466	821	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	100198	101439	-							EII11_07550	1242		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000007.1	100198	101439	-	RRC95080.1			TPM domain-containing protein			EII11_07550	1242	413	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000067.1	1	245	+							EII11_10405	245		partial
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000067.1	1	245	+	RRC94345.1			hypothetical protein			EII11_10405	245	81	partial
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	175	1662	-							EII11_07555	1488		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	175	1662	-	RRC94934.1			NAD-dependent succinate-semialdehyde dehydrogenase			EII11_07555	1488	495	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	1963	3432	+							EII11_07560	1470		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	1963	3432	+	RRC94935.1			fumarylacetoacetate hydrolase family protein			EII11_07560	1470	489	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	3494	5026	+					hpaE		EII11_07565	1533		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	3494	5026	+	RRC94936.1			5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	hpaE		EII11_07565	1533	510	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	5105	6172	+					hpaD		EII11_07570	1068		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	5105	6172	+	RRC94937.1			3,4-dihydroxyphenylacetate 2,3-dioxygenase	hpaD		EII11_07570	1068	355	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	6169	7575	+							EII11_07575	1407		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	6169	7575	+	RRC94938.1			MFS transporter			EII11_07575	1407	468	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	7714	8376	+							EII11_07580	663		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	7714	8376	+	RRC94939.1			GntR family transcriptional regulator			EII11_07580	663	220	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	8517	10391	+							EII11_07585	1875		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	8517	10391	+	RRC94940.1			3-hydroxybenzoate 4-monooxygenase			EII11_07585	1875	624	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	10602	11387	+					hpaH		EII11_07590	786		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	10602	11387	+	RRC94941.1			2-oxo-hepta-3-ene-1,7-dioic acid hydratase	hpaH		EII11_07590	786	261	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	11372	12205	+							EII11_07595	834		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	11372	12205	+	RRC94942.1			2-dehydro-3-deoxyglucarate aldolase			EII11_07595	834	277	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	12215	13135	+							EII11_07600	921		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	12215	13135	+	RRC94943.1			aldose-1-epimerase			EII11_07600	921	306	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	13132	15981	+					hrpB		EII11_07605	2850		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	13132	15981	+	RRC94944.1			ATP-dependent helicase HrpB	hrpB		EII11_07605	2850	949	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	16070	16981	-							EII11_07610	912		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	16070	16981	-	RRC94945.1			carbohydrate ABC transporter permease			EII11_07610	912	303	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	16981	17844	-							EII11_07615	864		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	16981	17844	-	RRC94946.1			sugar ABC transporter permease			EII11_07615	864	287	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	18113	19456	-							EII11_07620	1344		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	18113	19456	-	RRC94947.1			extracellular solute-binding protein			EII11_07620	1344	447	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	19643	21814	-					gnpA		EII11_07625	2172		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	19643	21814	-	RRC94948.1			1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	gnpA		EII11_07625	2172	723	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	21888	22682	-							EII11_07630	795		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	21888	22682	-	RRC94949.1			DeoR/GlpR transcriptional regulator			EII11_07630	795	264	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	22910	23791	+							EII11_07635	882		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	22910	23791	+	RRC94950.1			SIS domain-containing protein			EII11_07635	882	293	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	23892	24827	+							EII11_07640	936		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	23892	24827	+	RRC94951.1			ROK family protein			EII11_07640	936	311	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	24880	25821	+							EII11_07645	942		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	24880	25821	+	RRC94952.1			1-phosphofructokinase family hexose kinase			EII11_07645	942	313	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	25821	26660	+							EII11_07650	840		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	25821	26660	+	RRC94953.1			class II fructose-bisphosphate aldolase			EII11_07650	840	279	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	26779	29391	-							EII11_07655	2613		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	26779	29391	-	RRC94954.1			hypothetical protein			EII11_07655	2613	870	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	29568	30914	-					lysA		EII11_07660	1347		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	29568	30914	-	RRC95005.1			diaminopimelate decarboxylase	lysA		EII11_07660	1347	448	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	31029	32708	-							EII11_07665	1680		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	31029	32708	-	RRC94955.1			arginine--tRNA ligase			EII11_07665	1680	559	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	32841	33290	-							EII11_07670	450		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	32841	33290	-	RRC94956.1			ribose-5-phosphate isomerase			EII11_07670	450	149	
gene	tRNA	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	33535	33607	+							EII11_07675	73		
tRNA		GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	33535	33607	+				tRNA-Arg			EII11_07675	73		anticodon=CCG
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	33890	34516	+							EII11_07680	627		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	33890	34516	+	RRC94957.1			CPBP family intramembrane metalloprotease			EII11_07680	627	208	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	34598	35221	+							EII11_07685	624		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	34598	35221	+	RRC95006.1			deoxyribonuclease			EII11_07685	624	207	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	35238	36077	+							EII11_07690	840		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	35238	36077	+	RRC94958.1			hypothetical protein			EII11_07690	840	279	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	36210	37361	-							EII11_07695	1152		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	36210	37361	-	RRC94959.1			lactaldehyde reductase			EII11_07695	1152	383	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	37577	38182	-							EII11_07700	606		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	37577	38182	-	RRC94960.1			DNA-binding response regulator			EII11_07700	606	201	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	38179	39477	-							EII11_07705	1299		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	38179	39477	-	RRC94961.1			two-component sensor histidine kinase			EII11_07705	1299	432	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	39525	40376	-							EII11_07710	852		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	39525	40376	-	RRC94962.1			ABC transporter permease			EII11_07710	852	283	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	40455	41450	-							EII11_07715	996		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	40455	41450	-	RRC94963.1			ABC transporter ATP-binding protein			EII11_07715	996	331	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	41578	42282	-							EII11_07720	705		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	41578	42282	-	RRC94964.1			hypothetical protein			EII11_07720	705	234	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	42338	43135	-							EII11_07725	798		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	42338	43135	-	RRC94965.1			glycerophosphodiester phosphodiesterase			EII11_07725	798	265	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	43132	43953	-							EII11_07730	822		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	43132	43953	-	RRC95007.1			M23 family metallopeptidase			EII11_07730	822	273	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	44225	45271	-							EII11_07735	1047		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	44225	45271	-	RRC94966.1			HlyC/CorC family transporter			EII11_07735	1047	348	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	45268	46596	-							EII11_07740	1329		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	45268	46596	-	RRC95008.1			HlyC/CorC family transporter			EII11_07740	1329	442	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	46960	50835	+							EII11_07745	3876		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	46960	50835	+	RRC94967.1			multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit			EII11_07745	3876	1291	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	51009	51608	+							EII11_07750	600		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	51009	51608	+	RRC94968.1			lysophospholipase			EII11_07750	600	199	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	52208	52708	+							EII11_07755	501		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	52208	52708	+	RRC94969.1			DoxX family membrane protein			EII11_07755	501	166	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	52717	54300	+							EII11_07760	1584		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	52717	54300	+	RRC94970.1			3-phosphoshikimate 1-carboxyvinyltransferase			EII11_07760	1584	527	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	54300	55418	+					rsgA		EII11_07765	1119		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	54300	55418	+	RRC94971.1			ribosome small subunit-dependent GTPase A	rsgA		EII11_07765	1119	372	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	55827	57272	+					sbcD		EII11_07770	1446		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	55827	57272	+	RRC94972.1			exonuclease subunit SbcD	sbcD		EII11_07770	1446	481	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	57275	60493	+							EII11_07775	3219		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	57275	60493	+	RRC94973.1			SMC family ATPase			EII11_07775	3219	1072	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	60490	60948	-							EII11_07780	459		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	60490	60948	-	RRC94974.1			hypothetical protein			EII11_07780	459	152	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	60985	62646	-							EII11_07785	1662		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	60985	62646	-	RRC94975.1			tyrosine-protein kinase family protein			EII11_07785	1662	553	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	62643	63272	-							EII11_07790	630		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	62643	63272	-	RRC94976.1			hypothetical protein			EII11_07790	630	209	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	63419	63631	+							EII11_07795	213		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	63419	63631	+	RRC94977.1			DNA-binding protein			EII11_07795	213	70	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	63704	64261	-							EII11_07800	558		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	63704	64261	-	RRC94978.1			hypothetical protein			EII11_07800	558	185	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	64379	65578	+							EII11_07805	1200		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	64379	65578	+	RRC94979.1			LysM domain-containing protein			EII11_07805	1200	399	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	65588	66139	+							EII11_07810	552		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	65588	66139	+	RRC94980.1			hypothetical protein			EII11_07810	552	183	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	66185	68974	-					secA		EII11_07815	2790		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	66185	68974	-	RRC94981.1			preprotein translocase subunit SecA	secA		EII11_07815	2790	929	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	69334	69984	-					raiA		EII11_07820	651		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	69334	69984	-	RRC94982.1			ribosome-associated translation inhibitor RaiA	raiA		EII11_07820	651	216	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	70183	70848	-							EII11_07825	666		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	70183	70848	-	RRC94983.1			competence protein ComF			EII11_07825	666	221	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	70927	72591	-							EII11_07830	1665		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	70927	72591	-	RRC94984.1			hypothetical protein			EII11_07830	1665	554	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	72588	74216	-							EII11_07835	1629		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	72588	74216	-	RRC94985.1			sensor histidine kinase			EII11_07835	1629	542	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	74244	74924	-							EII11_07840	681		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	74244	74924	-	RRC94986.1			DNA-binding response regulator			EII11_07840	681	226	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	75050	76327	+							EII11_07845	1278		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	75050	76327	+	RRC94987.1			hypothetical protein			EII11_07845	1278	425	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	76327	76953	+							EII11_07850	627		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	76327	76953	+	RRC94988.1			hypothetical protein			EII11_07850	627	208	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	76950	78254	+							EII11_07855	1305		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	76950	78254	+	RRC94989.1			DUF4350 domain-containing protein			EII11_07855	1305	434	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	78295	79410	+							EII11_07860	1116		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	78295	79410	+	RRC95009.1			MoxR family ATPase			EII11_07860	1116	371	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	79410	80786	+							EII11_07865	1377		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	79410	80786	+	RRC94990.1			DUF58 domain-containing protein			EII11_07865	1377	458	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	80847	81839	-							EII11_07870	993		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	80847	81839	-	RRC94991.1			stage II sporulation protein M			EII11_07870	993	330	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	81832	82710	+							EII11_07875	879		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	81832	82710	+	RRC94992.1			RDD family protein			EII11_07875	879	292	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	82822	83457	-							EII11_07880	636		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	82822	83457	-	RRC94993.1			DUF3499 domain-containing protein			EII11_07880	636	211	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	83594	84013	+							EII11_07885	420		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	83594	84013	+	RRC95010.1			metallopeptidase family protein			EII11_07885	420	139	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	84023	85873	-							EII11_07890	1851		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	84023	85873	-	RRC94994.1			hypothetical protein			EII11_07890	1851	616	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	85870	89058	-							EII11_07895	3189		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	85870	89058	-	RRC94995.1			glycosyltransferase family 2 protein			EII11_07895	3189	1062	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	89064	89360	-							EII11_07900	297		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	89064	89360	-	RRC94996.1			WhiB family transcriptional regulator			EII11_07900	297	98	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	89473	90264	+							EII11_07905	792		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	89473	90264	+	RRC94997.1			hypothetical protein			EII11_07905	792	263	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	90358	91518	-					glf		EII11_07910	1161		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	90358	91518	-	RRC94998.1			UDP-galactopyranose mutase	glf		EII11_07910	1161	386	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	91539	92864	-							EII11_07915	1326		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	91539	92864	-	RRC94999.1			UDP-glucose/GDP-mannose dehydrogenase family protein			EII11_07915	1326	441	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	93037	94023	+							EII11_07920	987		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	93037	94023	+	RRC95000.1			glycosyltransferase family 2 protein			EII11_07920	987	328	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	94020	95135	+							EII11_07925	1116		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	94020	95135	+	RRC95001.1			glycosyltransferase			EII11_07925	1116	371	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	95132	96079	+							EII11_07930	948		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	95132	96079	+	RRC95002.1			UPF0104 family protein			EII11_07930	948	315	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	96218	97183	-							EII11_07935	966		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	96218	97183	-	RRC95003.1			glycosyltransferase family 2 protein			EII11_07935	966	321	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	97180	98184	-					rfbB		EII11_07940	1005		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	97180	98184	-	RRC95011.1			dTDP-glucose 4,6-dehydratase	rfbB		EII11_07940	1005	334	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	98326	100045	+							EII11_07945	1720		partial
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000008.1	98326	100045	+	RRC95004.1			hypothetical protein			EII11_07945	1720	573	partial
gene	rRNA	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000071.1	160	225	+					rrf		EII11_10410	66		partial
rRNA		GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000071.1	160	225	+				5S ribosomal RNA	rrf		EII11_10410	66		partial
gene	rRNA	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000074.1	26	142	+					rrf		EII11_10415	117		
rRNA		GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000074.1	26	142	+				5S ribosomal RNA	rrf		EII11_10415	117		
gene	rRNA	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000075.1	1	66	-					rrf		EII11_10420	66		partial
rRNA		GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000075.1	1	66	-				5S ribosomal RNA	rrf		EII11_10420	66		partial
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000009.1	269	538	-							EII11_07950	270		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000009.1	269	538	-	RRC94812.1			hypothetical protein			EII11_07950	270	89	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000009.1	685	1347	-							EII11_07955	663		
